"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 15 19:05:18 QYZT 2025","Sat Mar 15 19:05:18 QYZT 2025","333","tests","test_create_order","TestCreateOrder","","","Создание заказа с разными цветами",""
"passed","Sat Mar 15 19:05:21 QYZT 2025","Sat Mar 15 19:05:21 QYZT 2025","305","tests","test_login_courier","TestLoginCourier","","","Ошибка при неверном пароле",""
"passed","Sat Mar 15 19:05:17 QYZT 2025","Sat Mar 15 19:05:17 QYZT 2025","362","tests","test_create_order","TestCreateOrder","","","Создание заказа с разными цветами",""
"passed","Sat Mar 15 19:05:15 QYZT 2025","Sat Mar 15 19:05:15 QYZT 2025","321","tests","test_create_courier","TestCreateCourier","","","Ошибка при создании без логина",""
"passed","Sat Mar 15 19:05:15 QYZT 2025","Sat Mar 15 19:05:15 QYZT 2025","325","tests","test_create_courier","TestCreateCourier","","","Ошибка при создании без пароля",""
"passed","Sat Mar 15 19:05:22 QYZT 2025","Sat Mar 15 19:05:23 QYZT 2025","332","tests","test_login_courier","TestLoginCourier","","","Ошибка при отсутствии логина",""
"passed","Sat Mar 15 19:05:17 QYZT 2025","Sat Mar 15 19:05:17 QYZT 2025","309","tests","test_create_order","TestCreateOrder","","","Создание заказа с разными цветами",""
"passed","Sat Mar 15 19:05:17 QYZT 2025","Sat Mar 15 19:05:18 QYZT 2025","353","tests","test_create_order","TestCreateOrder","","","Создание заказа с разными цветами",""
"passed","Sat Mar 15 19:05:24 QYZT 2025","Sat Mar 15 19:05:24 QYZT 2025","331","tests","test_login_courier","TestLoginCourier","","","Ошибка при отсутствии пароля",""
"passed","Sat Mar 15 19:05:16 QYZT 2025","Sat Mar 15 19:05:16 QYZT 2025","325","tests","test_create_courier","TestCreateCourier","","","Ошибка при создании с существующим логином",""
"passed","Sat Mar 15 19:05:18 QYZT 2025","Sat Mar 15 19:05:19 QYZT 2025","380","tests","test_login_courier","TestLoginCourier","","","Успешная авторизация курьера",""
"passed","Sat Mar 15 19:05:20 QYZT 2025","Sat Mar 15 19:05:20 QYZT 2025","311","tests","test_login_courier","TestLoginCourier","","","Ошибка при неверном логине",""
"passed","Sat Mar 15 19:05:13 QYZT 2025","Sat Mar 15 19:05:13 QYZT 2025","1","tests","test_create_courier","TestCreateCourier","","","Успешное создание курьера",""
"passed","Sat Mar 15 19:05:25 QYZT 2025","Sat Mar 15 19:05:25 QYZT 2025","715","tests","test_order_list","TestOrderList","","","Получение списка заказов",""
"passed","Sat Mar 15 19:05:14 QYZT 2025","Sat Mar 15 19:05:14 QYZT 2025","340","tests","test_create_courier","TestCreateCourier","","","Нельзя создать двух одинаковых курьеров",""
