"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 17 21:50:01 QYZT 2025","Mon Mar 17 21:50:01 QYZT 2025","488","tests","test_create_courier","TestCreateCourier","","","Нельзя создать двух одинаковых курьеров",""
"passed","Mon Mar 17 21:49:58 QYZT 2025","Mon Mar 17 21:50:00 QYZT 2025","1688","tests","test_create_courier","TestCreateCourier","","","Успешное создание курьера",""
"passed","Mon Mar 17 21:50:02 QYZT 2025","Mon Mar 17 21:50:03 QYZT 2025","442","tests","test_create_courier","TestCreateCourier","","","Ошибка при создании без пароля",""
"passed","Mon Mar 17 21:50:07 QYZT 2025","Mon Mar 17 21:50:07 QYZT 2025","422","tests","test_login_courier","TestLoginCourier","","","Успешная авторизация курьера",""
"passed","Mon Mar 17 21:50:09 QYZT 2025","Mon Mar 17 21:50:09 QYZT 2025","412","tests","test_login_courier","TestLoginCourier","","","Ошибка при неверном логине",""
"passed","Mon Mar 17 21:50:13 QYZT 2025","Mon Mar 17 21:50:13 QYZT 2025","347","tests","test_login_courier","TestLoginCourier","","","Ошибка при отсутствии логина",""
"passed","Mon Mar 17 21:50:11 QYZT 2025","Mon Mar 17 21:50:11 QYZT 2025","780","tests","test_login_courier","TestLoginCourier","","","Ошибка при неверном пароле",""
"passed","Mon Mar 17 21:50:02 QYZT 2025","Mon Mar 17 21:50:02 QYZT 2025","382","tests","test_create_courier","TestCreateCourier","","","Ошибка при создании без логина",""
"passed","Mon Mar 17 21:50:06 QYZT 2025","Mon Mar 17 21:50:06 QYZT 2025","404","tests","test_create_order","TestCreateOrder","","","Создание заказа с разными цветами",""
"passed","Mon Mar 17 21:50:03 QYZT 2025","Mon Mar 17 21:50:04 QYZT 2025","486","tests","test_create_courier","TestCreateCourier","","","Ошибка при создании с существующим логином",""
"passed","Mon Mar 17 21:50:06 QYZT 2025","Mon Mar 17 21:50:06 QYZT 2025","376","tests","test_create_order","TestCreateOrder","","","Создание заказа с разными цветами",""
"passed","Mon Mar 17 21:50:05 QYZT 2025","Mon Mar 17 21:50:05 QYZT 2025","404","tests","test_create_order","TestCreateOrder","","","Создание заказа с разными цветами",""
"passed","Mon Mar 17 21:50:05 QYZT 2025","Mon Mar 17 21:50:06 QYZT 2025","475","tests","test_create_order","TestCreateOrder","","","Создание заказа с разными цветами",""
"passed","Mon Mar 17 21:50:14 QYZT 2025","Mon Mar 17 21:50:15 QYZT 2025","397","tests","test_login_courier","TestLoginCourier","","","Ошибка при отсутствии пароля",""
"passed","Mon Mar 17 21:50:15 QYZT 2025","Mon Mar 17 21:50:16 QYZT 2025","900","tests","test_order_list","TestOrderList","","","Получение списка заказов",""
